LON,LAT,EDO,CLAVE,ESTACION,mar-15
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",117.01
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",103.23
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",28.9
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",3.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",42
-107.395556,28.525833,CHIH,BASUCHIL,"Basuchil, Chih. INIFAP*",29.4
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",126.1
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",60.8
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",76
-106.953056,28.065,CHIH,BUENAVISTACH2,"Buena Vista 2, Chih. INIFAP*",22.6
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",3
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",7.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",9.7
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",2.8
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",8.74
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",34.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",29.06
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",5.33
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",33
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",6.5
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",13.9
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",27.11
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",53
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",93
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",58
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",34.22
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",28.03
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",59.42
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",27.1
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",37
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",27
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",75.43
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",57.02
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",54
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",40.55
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",43.43
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",50
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",26.91
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",55.02
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",30
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",82.53
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",34.23
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",82.4
-107.491667,29.035556,CHIH,SOTOMAINEZ,"Soto Mainez, Chih. INIFAP*",17.2
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",127.5
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",9.7
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",33.2
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",27.72
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",47.5
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",88.41
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",73.02
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",17
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",85.05
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",70
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",1.8
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",27.3
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",313.3
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",2
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",40.11
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",1.1
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",10.61
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",0.1
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",12.8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",13.53
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",11.59
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",3.53
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",3.1
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",13.51
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",4.4
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",26.01
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",34.6
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",31.4
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",20.21
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",159.3
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",131.4
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",10.1
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",57.84
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",1
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",335.7
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",1
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",82.71
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",5.3
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",0.01
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",76.8
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",118.51
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",94
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",43.53
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",0
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",236.7
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",164.3
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",1.71
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",296
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",56.3
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",127.5
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",7.6
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",2.5
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",80.1
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",2.8
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",398.4
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",15.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",6.2
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",13.14
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",19.8
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",271.6
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",3.1
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",0.5
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",102.9
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",5.4
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",108.5
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",6.9
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",3
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",6.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0.01
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",191.2
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",19.58
-93.270833,16.233333,CHIS,VIFCP,"Villaflores, Chis.",1.01
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",90.8
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",23.82
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",62
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",77.1
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",107
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",43.4
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",54
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",48
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",58
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",83.43
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",129.6
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",92
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",62.7
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",68.2
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",73.2
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",52
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",195
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",112.2
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",48.5
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",50.01
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",98.5
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",77.34
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",83.7
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",94.52
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",94.4
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",63.53
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",179
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",166
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",160.5
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",145.8
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",136.5
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",227.1
-103.733333,19.233333,COL,COLIMAob,"Observatorio de Colima, Col. SMN*",163.4
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",212.3
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",185
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",187.6
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",192.4
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",133.5
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",190.2
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",163.9
-104.1,18.936111,COL,RDRCM,"Radar, Col.",165
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",206.3
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",118.5
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",176
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",0
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",43.82
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",0
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",0
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",0
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",52.61
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",28.8
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",59.4
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",33.6
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",0
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",1.1
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",32
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",50
-99.162778,19.378333,DF,DELVALLE,"Del Valle, Cd. de Méx. SEGIAGUA",34.54
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",12.7
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",1
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",49.6
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",66.3
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",0
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",0
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",61.1
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",88.5
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",23.5
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",62.2
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",0
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",0
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",0
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",33.2
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",0
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",0
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",20.5
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",10
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",61.8
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",7.4
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",0
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",70
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",78
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",44.2
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",0
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",0
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",0
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",0.5
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",6.1
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",1.8
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",0
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",0
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",42.8
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",94.7
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",0
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",0
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",53.6
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",74.5
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",6.6
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",79.2
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",0
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",40.8
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",41.4
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",43.7
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",0
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",12.7
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",6.8
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",55.2
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",32.8
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",0
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de Méx.",22.3
-104.7,24,DGO,CAGDR,"Campo Agrícola, Dgo.",59.9
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",135.2
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",64.5
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",104
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",66.2
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",97.2
-104.599722,24.094722,DGO,DURANGOob,"Observatorio de Durango, Dgo. SMN*",60.8
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",51.8
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",78.31
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",140
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",76
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",58.8
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",57
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",101.7
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",61.82
-103.7475,26.686389,DGO,MAPIMI,"Mapimí, Dgo. SMN*",41
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",119.51
-104.113889,25.225556,DGO,NZSDR,"Nazas, Dgo.",143.5
-104.6,24.1,DGO,OBSDR,"Observatorio de Durango, Dgo.",63.4
-104.656667,24.203889,DGO,PAGDR,"Peña del Aguila, Dgo.",53.1
-104.558333,25.181944,DGO,RDODR,"Rodeo, Dgo.",132.5
-106.366667,26.133333,DGO,ROSDR,"La Rosilla, Dgo.",113
-104.9,25.75,DGO,RPADR,"Radar Palmito, Dgo.",117.91
-105.443056,25.225,DGO,SACDR,"Salomé Acosta, Dgo.",66.81
-104.925833,23.824444,DGO,SBBDR,"Santa Bárbara, Dgo.",36.6
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",58.4
-103.353056,24.469167,DGO,SCLDR,"Santa Clara, Dgo.",75.3
-104.054444,23.623056,DGO,SELDR,"Santa Elena, Dgo.",62.1
-105.560833,26.436667,DGO,SGBDR,"San Gabriel, Dgo.",64.62
-102.778056,24.630556,DGO,SJGDR,"San Juan de Guadalupe, Dgo.",77.01
