LON,LAT,EDO,CLAVE,ESTACION,may-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",1.12
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",19.2
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",6.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",14.2
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",7.62
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",1.6
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",4.22
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",1.11
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",5.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.8
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",1.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",2
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",2.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",5.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",14
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",1.81
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",5.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",8
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",9
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",23.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.8
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.01
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0.01
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",2.5
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",4.4
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",1.6
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.5
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",3.55
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",5.6
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.1
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",2
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",0.25
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",30.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",4.6
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",0
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",0
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",32.9
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",0
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",122.8
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",28
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",0
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",0
-92.098056,18.254722,CAMP,PALIZADACA,"Palizada, Camp. SMN*",16.8
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",22
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",26
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",0
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",0
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",0
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",0
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.01
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",21
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",94.3
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",88.5
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",19.2
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",102.9
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",13
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",31.9
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",96
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",179.6
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",67.9
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",33
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",144.6
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",24.7
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",32.6
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",98.2
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",30
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",99.5
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",18.3
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",87.1
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",21.55
-93.741389,16.671667,CHIS,CREDCINTALAPA,"Cred Cintalapa, Chis. PC*",0.3
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",75.91
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",59.4
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",49.8
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",157.5
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",35.7
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",30.2
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",54.5
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",46.3
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",116
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",81.7
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",122
