LON,LAT,EDO,CLAVE,ESTACION,oct-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",3.82
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",22
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",10.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",0
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",17.31
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",17.7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",18.2
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",14.01
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",6.6
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0.72
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",44.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",9
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",20.4
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",22.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",10.01
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",15.71
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",25.2
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",11.6
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.01
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0.01
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.02
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",0.51
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",1.7
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.2
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.2
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",2.61
