LON,LAT,EDO,CLAVE,ESTACION,mar-17
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",5.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",16
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",5
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",7.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",4.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",9.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",4.1
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",14.6
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",4.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",5.2
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",2.82
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",5.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",8.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",6.3
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",16
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",3.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",4.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",2.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",36.7
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",14.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",9
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",14.2
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",4.1
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",2.51
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",12.7
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",11.41
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",4.51
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",5.7
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
