LON,LAT,EDO,CLAVE,ESTACION,nov-13
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",20.62
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",56.11
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",44.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",31.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",32.61
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",31.7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",31.4
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",56.11
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",31.43
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",35.03
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",31.51
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",43.3
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",42.74
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",34
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",24.5
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",43.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",20.3
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",25.6
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",36.53
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",25.66
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",32.82
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",62.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",41.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",33
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",47.83
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",22.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",10.1
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",81.28
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",16.09
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",6.21
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",12
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",10.1
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",13.2
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",38
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",19.7
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",17.02
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",20.1
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0.75
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",19
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",16.7
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",9.3
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",44.39
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.2
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",14
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",16
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",8.5
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",3
