LON,LAT,EDO,CLAVE,ESTACION,feb-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",32.9
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",52
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",49.2
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",39.4
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",35.6
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",37.4
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",44.71
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",31.7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",31.5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",31.21
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",31.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",35
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",34.7
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",24.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",42
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",32.02
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",28.01
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",42.02
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",28.82
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",64.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",34.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",17
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",36.3
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",135.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",95.7
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",24.99
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",8.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",101.1
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",125.2
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",89.9
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",94.8
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",18.41
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",101.3
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",96.52
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",4.3
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",17.51
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",112.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",142.2
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",124
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",131.58
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",86.2
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.2
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.03
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",10.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.01
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.03
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0.02
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0.01
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0.2
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.02
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",1
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",2.8
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",9.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",4.7
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",4
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",2.01
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",10
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",11.4
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",6.8
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",29.13
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",5
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",1.3
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",3.5
-92.098056,18.254722,CAMP,PALIZADACA,"Palizada, Camp. SMN*",8.4
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",7.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",23.14
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",2.21
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",2.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",3
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",9
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",7
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",38.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",12
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",3.1
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",12.8
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",3.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.01
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",1.77
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",27.49
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",9
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",2
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",2
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",8.32
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",28.8
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0.4
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",0.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",9.8
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",47.8
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0.01
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",23.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",15
