LON,LAT,EDO,CLAVE,ESTACION,may-14
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",60.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",81.4
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",89
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",81.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",21.97
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",33.1
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",50.8
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",53.2
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",93.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",55.8
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",45.1
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",83.64
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",50.7
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",89.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",43.6
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",89
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",87.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",25
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",41
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",45
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",53.1
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",59.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",64.6
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",64.5
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",53.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.21
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",5.3
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",4
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.6
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.01
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0.6
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",4.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.01
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",2
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",94
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",134.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",282.5
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",88
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",213
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",231
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",115.1
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",86.9
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",185.11
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",146
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",66.6
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",306
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",221.5
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",126.9
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",394
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",1
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0.01
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",1.1
-106.388333,26.474167,CHIH,C08061,"El Vergel, Chih.",6.1
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",9
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",3.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",8.8
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",5.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.01
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0.6
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",1.02
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0.01
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0.25
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0.01
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",4.8
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0.01
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",7.3
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",0.01
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",2.6
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.01
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",1.32
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",1
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",5.7
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",0
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",5.6
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.01
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",81.91
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",134.12
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",149.34
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",279.9
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",532.8
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",5
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",116.71
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",426.64
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",172.03
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",242.61
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",311.2
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",82.7
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",210.6
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",273.45
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",231.41
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",63.53
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",98.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",608.33
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",79.7
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",99.03
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",209.6
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",367
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",250.8
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",512.7
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",663.6
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",378.1
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",697.2
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",297.2
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",681.7
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",213.42
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",156.8
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",188.2
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",286.92
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",148
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",153.91
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",46.2
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",416.12
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",253.6
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",460.04
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",0
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",668.3
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",475.7
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",141.5
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",405.4
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",209.41
-92.4,14.7,CHIS,PTOCHIAPASmar,"Puerto Chiapas, Chis. SEMAR*",160.34
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",257.9
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",206.1
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",109.52
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",505.4
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",68.8
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",552.81
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",244.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",238.6
