LON,LAT,EDO,CLAVE,ESTACION,ene-13
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",58.5
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",62.7
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",54.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",59
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",32.82
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",45
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",44.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",54.81
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",49.01
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",57.81
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",39.71
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",53.01
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",62
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",3.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",58
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",60.81
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",55
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",51
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",52.3
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",62
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",51
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",62.6
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",59.9
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",53.7
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",46.91
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",6.02
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",16.65
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",42.41
