LON,LAT,EDO,CLAVE,ESTACION,jun-13
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",91.83
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",80.3
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",71
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",135.4
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",58.09
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",56.7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",119.11
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",68.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",78.7
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",40
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",90.6
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",90.5
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",73.62
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",65.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",76.1
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",97
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",113.1
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",73.72
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",45.24
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",54.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",129
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",79
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",96.72
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",20.06
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",85.59
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",1.5
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",3
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.02
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0.6
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0.01
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",466
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",148.9
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",193.7
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",137.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",136.5
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",426
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",197
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",229.8
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",321.8
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",284.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",479.2
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",152.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",186.5
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",273
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",46
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",21.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",11.25
