LON,LAT,EDO,CLAVE,ESTACION,sep-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",165.41
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",117.8
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",20.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",110.7
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",161.9
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",101
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",156.64
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",173.82
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",163.12
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",132.11
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",114.63
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",134.52
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",176.1
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",114.95
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",67
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",197
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",130.6
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",103.6
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",221.62
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",64.21
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",84.8
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",128.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",153
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",195.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.02
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",12.6
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",120
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",80.01
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",21
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",140.42
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",97.3
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",39.51
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",101.5
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",169
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",45.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",104.5
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",20
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",177.3
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",29.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",273.71
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",109.53
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",143.53
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",189.11
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",55.15
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",150.22
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",164.61
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",170
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",458.83
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",249.4
-92.098056,18.254722,CAMP,PALIZADACA,"Palizada, Camp. SMN*",107.2
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",211
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",287.01
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",265.1
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",63.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",33
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",158.07
