LON,LAT,EDO,CLAVE,ESTACION,jul-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",280.63
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",371.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",409.8
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",200.51
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",245.8
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",211.13
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",225.42
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",267.52
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",230.23
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",176.61
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",210.13
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",201.3
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",357.61
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",105.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",191
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",210.11
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",156.81
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",116.16
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",137.23
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",250.2
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",265
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",189
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",238.9
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",2.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
