LON,LAT,EDO,CLAVE,ESTACION,ene-25
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",10.21
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",16.2
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",10.7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",11.9
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",9
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",5.61
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",13.21
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",13.21
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",7.3
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",9.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",11.31
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",10.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",4
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",11
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",14.53
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",15.64
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",13.91
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",0
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",3
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",5
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",8.6
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",13.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",15.8
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",9.7
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0.5
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",6.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",15.91
-116.584444,32.243056,BC,CSRBN,"Carmen Serdán, B.C.",14.8
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",14.8
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",18.95
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0.01
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",14.1
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",21.59
-116.160833,31.251944,BC,LLANOCOLORADO,"Llano Colorado, B.C. INIFAP*",4.1
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",8.8
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",17.4
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",5.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",8
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",15.85
-114.846944,31.028056,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0.6
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",14
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",1
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",2.84
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.01
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",12.8
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",20.51
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",33.21
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",6.02
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",14.6
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",29.9
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",19.5
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",47.51
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",12.7
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",29
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",85.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",36
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",56.8
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",27.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-108.036389,31.096667,CHIH,ASCENCION,"Ascensión, Chih. INIFAP*",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",60
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",23.5
-108.271389,31.114722,CHIH,BUENAVISTACH,"Buena Vista, Chih. INIFAP*",0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",15
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",41
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",31.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.01
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",4.5
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",3.51
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",20.97
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",17.3
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",13.5
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",8.3
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",22.3
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",20.81
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0.4
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",1
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",10
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",3.01
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",13.21
-108.14,29.18,CHIH,MDRCH,"Ciudad Madera, Chih.",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",1
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0.01
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",2.25
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",10.5
-106.466389,31.335,CHIH,SAMALAYUCA,"Samalayuca, Chih. INIFAP*",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",62.6
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",32
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",21.1
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.02
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",14.06
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",96.4
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",257.5
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",0.6
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",8.6
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",9.7
-93.405,16.781111,CHIS,CECECH2,"CECECH 2, Chis. INIFAP*",7.4
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",53.6
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",427.1
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",49
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",0
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.2
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",7
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",5.3
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",32.5
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",55.2
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",0
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",37.79
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",0
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",0.4
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",28.8
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",0.5
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",0.4
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",1.2
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",26.2
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",200.2
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",13.3
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",203
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",91.2
-93.273056,17.285833,CHIS,FCOLEONCFE,"Francisco León, Chis. CFE*",283.4
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",93.2
