LON,LAT,EDO,CLAVE,ESTACION,feb-17
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",1.7
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",4.5
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",2.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",1.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",5.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",2.5
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0.7
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",6.5
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",1.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",2
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",6.1
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",2
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",1
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0.5
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",6.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",3
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",2.2
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",1.2
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",112.73
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",89.1
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",92
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",107
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",13.3
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",81.6
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",8.91
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",27.73
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",256.8
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",33.7
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",18.71
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",17
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",29.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",4
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",14.8
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",7.8
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",9.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",1
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",11.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",4
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",23.8
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",1.6
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",0
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",3
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",1.5
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",6
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",40
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",5.7
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",25.4
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",0
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",0
