LON,LAT,EDO,CLAVE,ESTACION,dic-13
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",0
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",0.2
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",3.2
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",2.3
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",8.2
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",0
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",0
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",0
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",0.2
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",0.2
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",0.5
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",15.5
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",2
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",0
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",7.1
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",1.8
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",8.6
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",0.2
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",5.6
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",1.5
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",8.3
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",0.9
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",1.3
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",1.5
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",0.2
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",1.2
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",4
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",6.8
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",1
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",1.5
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",0
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",10.6
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",0
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",10.7
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",1.3
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",1.7
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",5.7
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",1
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",0.5
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",1.5
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",0.8
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",0
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",0
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",1.8
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",5.1
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",0
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",1.8
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",1.5
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",0
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",0.8
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",2.3
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",0.2
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",12.9
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",2
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de Méx.",3.8
-104.7,24,DGO,CAGDR,"Campo Agrícola, Dgo.",10.8
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",8.1
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",23
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",12.4
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",13.1
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",10
-104.599722,24.094722,DGO,DURANGOob,"Observatorio de Durango, Dgo. SMN*",21
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",29.5
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",7.1
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",11
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",17
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",25
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",11.2
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",30.06
-103.7475,26.686389,DGO,MAPIMI,"Mapimí, Dgo. SMN*",8.8
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",17
-104.113889,25.225556,DGO,NZSDR,"Nazas, Dgo.",0
-104.6,24.1,DGO,OBSDR,"Observatorio de Durango, Dgo.",16.5
-104.656667,24.203889,DGO,PAGDR,"Peña del Aguila, Dgo.",14.2
-106.366667,26.133333,DGO,ROSDR,"La Rosilla, Dgo.",49
-105.443056,25.225,DGO,SACDR,"Salomé Acosta, Dgo.",1.51
-104.925833,23.824444,DGO,SBBDR,"Santa Bárbara, Dgo.",55.1
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",13.4
-104.054444,23.623056,DGO,SELDR,"Santa Elena, Dgo.",58.1
-105.560833,26.436667,DGO,SGBDR,"San Gabriel, Dgo.",6
-105.366667,25.953333,DGO,SMODR,"Santa María del Oro, Dgo.",5.5
-105.422222,25.0375,DGO,SPPDR,"Santiago Papasquiaro, Dgo.",11.5
-106.538056,24.702222,DGO,TDRDR,"El Tule del Real, Dgo.",40
-102.785,24.563056,DGO,TGRDR,"El Tigre, Dgo.",26
-103.441667,26.1125,DGO,THODR,"Tlahualilo, Dgo.",209
-105.725,25.341111,DGO,TLHDR,"Observatorio de Tepehuanes, Dgo.",11.6
-106.975,24.933333,DGO,TMZDR,"Tamazula, Dgo.",42.13
