LON,LAT,EDO,CLAVE,ESTACION,jun-17
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",46.7
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",80.6
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",22.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",75.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",42.07
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",43.3
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",43.4
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",48.9
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",59.6
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",21.7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",11.1
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",41.3
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",65.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",39.3
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",39.2
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",22.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",74
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",41.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",41
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",52.2
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",22
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",83.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",47.2
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",49
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",1.2
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",22.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
