LON,LAT,EDO,CLAVE,ESTACION,ene-16
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0.2
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",3.2
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",8
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",4.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",0
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",2.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",6.9
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",12.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0.01
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",2.9
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",2
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",7.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",4.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",7.3
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",6.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",5
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",89.3
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",42.32
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",70.3
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",49.41
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",92.2
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",10.6
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",82.1
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",119.2
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",2.8
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",10.23
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",14.41
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",96.7
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",108
