LON,LAT,EDO,CLAVE,ESTACION,oct-17
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",12
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",31.8
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",15.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",11.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",19.51
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",68
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",21.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",25.7
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",3.4
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",37.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",29.9
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",28.4
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",9.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",18
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",9.9
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",15.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",6
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",34.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",41.1
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",11.7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",10.4
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",24.2
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",9
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",13
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",5.6
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.31
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.4
