LON,LAT,EDO,CLAVE,ESTACION,oct-14
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",18.1
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",44.2
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",12.8
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",41.8
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",13.14
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",29.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",50.4
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",27.1
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",14.6
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",20
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",22.5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",34.61
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",88.9
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",15.6
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",23.5
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",7.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",21
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",12.7
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",27
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",16.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",72.9
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",31
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",6
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",20
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",24.7
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.02
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",7.87
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",12.85
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",2.91
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",35.56
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",4.57
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",2
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",30.8
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",35.01
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",35
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",24.5
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",8
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",10.5
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",10.41
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",1
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",1.9
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",24.8
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",21
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",3.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",9.02
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",53.1
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",46.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",1.02
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",22
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",35
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",35
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",69.6
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",6.5
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",35
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",94.3
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",120
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",93
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",179.3
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",156.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",168
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",160
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",167.3
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",104.7
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",186.12
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",156.9
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",214.4
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",206
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",243
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",144.8
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",207
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",62.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",2.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",5.1
-106.388333,26.474167,CHIH,C08061,"El Vergel, Chih.",15
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",71.5
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",53.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",25.2
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",13
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",28.74
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",5.6
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",11.2
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",18.5
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",4.8
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",1.2
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0.6
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",2.5
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",15
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",30
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",8.51
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",3.02
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",5.5
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",10
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",8
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",26.11
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",13.8
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",15.91
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",13.5
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",0
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",25.2
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",3.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",6.9
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",26.02
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",34
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",16.1
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",69.31
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",141.5
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",196.5
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",658.8
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",1.5
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",57.54
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",601.22
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",79.85
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",104.5
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",226.6
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",115.3
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",85
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",108.44
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",74.44
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",69.36
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",168.7
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",330.7
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",126
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",413.51
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",158
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",409
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",166.6
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",385.5
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",384.2
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",364.7
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",484.2
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",158.7
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",539.41
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",247.62
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",385.5
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",158.06
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",503.7
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",102.4
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",107.8
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",285.2
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",456.6
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",435.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",492.55
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",199.5
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",715.3
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",462
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",122.33
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",502.21
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",408.7
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",486.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",280.83
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",213.11
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",462.1
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",88.1
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",666.5
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",91.6
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",98.5
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",95.62
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",83.21
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",304.6
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",451.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",188.8
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",275.7
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",306.21
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",71.4
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",504
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",466.41
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",327.8
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",129.5
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",112.63
