LON,LAT,EDO,CLAVE,ESTACION,abr-25
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0.3
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",0
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",0.02
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",0
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0.5
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0.01
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",0
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",25.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",5.71
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",14.4
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",17
-116.584444,32.243056,BC,CSRBN,"Carmen Serdán, B.C.",4.2
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",9.22
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",2.91
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",15.1
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.5
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",6
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",5
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",2.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",4
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",27.95
-114.846944,31.028056,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0.2
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",15.8
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",21
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",0
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",0.1
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",50.2
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",0
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",4.51
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",5
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",0
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",0
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",1
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",11
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",0
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",0
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0.01
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0.01
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",2
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",19.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",1.01
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",2.11
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.2
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",14.5
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0.01
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",12
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",2.2
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",1.6
-108.14,29.18,CHIH,MDRCH,"Ciudad Madera, Chih.",28
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0.6
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0.01
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",3
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",8.9
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0.5
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",51.6
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",13.3
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",98.8
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",5.8
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",197.5
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",38.1
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",192
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",255.8
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",2.8
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",3.2
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",7.2
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",1.5
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",95.9
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",97.2
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",22.7
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",8.6
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",35.7
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",19.9
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",194.4
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",65.7
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",6.8
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",6.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",244.5
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",60.8
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",99.4
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",42.3
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",146.71
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",136.1
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",34.5
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",148
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",301
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",22.4
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",37.1
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",84.7
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",103.1
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",20.3
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",7.9
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",0
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",0
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",12.7
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",12.7
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",88.1
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",15.8
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",7.9
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",102.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",17.6
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",17.3
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",70.3
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",29.61
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",7
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",5.6
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",17.5
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",11.2
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",118.5
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",6.5
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",167.4
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",90.7
