Latitude: 19.21451  Longitude: -102.55516
X & Y on Lambert Conformal Conic: -277843.78 -2529342.31
Tile: 9759
Elevation: 520 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,tmax (deg c),tmin (deg c)
2015,213,33.87,21.62
2015,214,33.75,21.89
2015,215,33.97,21.72
2015,216,35.25,20.86
2015,217,34.37,23.04
2015,218,36.03,20.74
2015,219,35.65,21.36
2015,220,34.97,23.08
2015,221,36.40,20.73
2015,222,34.65,22.40
2015,223,35.21,21.92
2015,224,34.34,19.96
2015,225,32.79,22.08
2015,226,34.38,20.97
2015,227,34.18,22.03
2015,228,34.31,22.35
2015,229,33.19,21.71
2015,230,33.63,21.17
2015,231,34.67,20.59
2015,232,35.76,20.85
2015,233,34.36,22.45
2015,234,34.26,22.36
2015,235,34.00,20.01
2015,236,33.57,19.58
2015,237,34.16,22.19
2015,238,34.37,20.48
2015,239,34.27,19.59
2015,240,32.90,20.85
2015,241,33.59,21.94
2015,242,33.90,21.64
2015,243,34.19,21.70
2015,244,34.19,21.12
2015,245,33.91,22.14
2015,246,33.89,22.24
2015,247,34.17,22.44
2015,248,33.31,22.32
2015,249,33.22,21.83
2015,250,34.55,21.05
2015,251,32.75,21.66
2015,252,33.31,21.80
2015,253,35.96,21.14
2015,254,33.54,22.76
2015,255,33.28,21.87
2015,256,33.59,21.87
2015,257,33.34,21.32
2015,258,33.69,21.94
2015,259,33.33,20.98
2015,260,32.19,21.07
2015,261,32.69,21.82
2015,262,33.16,22.31
2015,263,33.93,21.87
2015,264,33.19,20.72
2015,265,33.86,21.67
2015,266,33.16,21.72
2015,267,33.62,21.82
2015,268,33.27,21.90
2015,269,32.77,20.95
2015,270,31.99,19.50
2015,271,32.79,18.22
2015,272,31.65,20.47
2015,273,32.46,20.08
2015,274,32.09,20.72
2015,275,34.16,18.05
2015,276,32.85,20.33
2015,277,32.74,19.75
2015,278,32.88,19.44
2015,279,32.73,20.33
2015,280,33.16,22.42
2015,281,34.15,21.52
2015,282,32.67,21.86
2015,283,33.67,22.32
2015,284,33.25,21.34
2015,285,33.91,21.24
2015,286,35.84,20.87
2015,287,34.63,22.45
2015,288,34.00,22.00
2015,289,33.96,21.94
2015,290,32.98,21.65
2015,291,32.78,21.35
2015,292,32.07,21.10
2015,293,32.80,21.54
2015,294,33.83,21.13
2015,295,35.54,18.55
