Latitude: 19.70807  Longitude: -99.13173
X & Y on Lambert Conformal Conic: 93840.05 -2476694.85
Tile: 9761
Elevation: 2319 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,tmax (deg c),tmin (deg c)
2015,213,26.32,10.36
2015,214,25.62,10.35
2015,215,26.33,10.44
2015,216,26.66,10.39
2015,217,26.21,11.15
2015,218,27.24,11.07
2015,219,26.86,11.01
2015,220,26.76,10.87
2015,221,27.59,10.57
2015,222,27.76,10.68
2015,223,26.82,9.50
2015,224,24.16,10.39
2015,225,22.74,11.15
2015,226,24.47,10.95
2015,227,25.88,9.88
2015,228,26.96,10.12
2015,229,25.78,11.58
2015,230,23.76,11.27
2015,231,25.01,11.45
2015,232,26.25,10.45
2015,233,25.76,11.25
2015,234,25.18,11.96
2015,235,24.45,11.55
2015,236,25.17,10.94
2015,237,26.01,10.60
2015,238,24.70,10.99
2015,239,23.52,10.73
2015,240,23.55,10.64
2015,241,23.51,10.23
2015,242,24.74,11.15
2015,243,24.86,11.13
2015,244,24.50,11.14
2015,245,25.53,11.96
2015,246,24.71,12.14
2015,247,24.68,12.22
2015,248,24.42,11.29
2015,249,24.68,11.81
2015,250,25.85,11.77
2015,251,26.60,10.89
2015,252,26.34,10.89
2015,253,26.83,11.04
2015,254,25.70,11.84
2015,255,25.85,10.98
2015,256,24.17,12.03
2015,257,23.37,13.15
2015,258,24.10,12.56
2015,259,24.71,13.15
2015,260,23.02,12.71
2015,261,23.90,12.58
2015,262,25.28,10.61
2015,263,25.53,10.68
2015,264,24.80,12.09
2015,265,25.17,11.15
2015,266,24.49,9.58
2015,267,25.40,9.69
2015,268,24.67,11.68
2015,269,22.19,11.88
2015,270,21.80,11.41
2015,271,23.17,11.10
2015,272,21.56,11.20
2015,273,21.54,11.31
2015,274,21.26,11.39
2015,275,23.82,8.81
2015,276,24.42,7.16
2015,277,25.85,5.95
2015,278,25.15,9.74
2015,279,26.33,9.44
