Latitude: 20.67489  Longitude: -101.38854
X & Y on Lambert Conformal Conic: -148234.01 -2365946.33
Tile: 9940
Elevation: 1720 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,tmax (deg c),tmin (deg c)
2015,213,29.71,14.43
2015,214,28.79,14.57
2015,215,28.76,14.57
2015,216,29.54,14.59
2015,217,29.81,15.42
2015,218,30.34,14.57
2015,219,29.92,14.75
2015,220,30.27,15.34
2015,221,30.65,14.71
2015,222,31.07,14.89
2015,223,30.39,14.07
2015,224,28.21,14.02
2015,225,26.92,14.80
2015,226,28.79,15.00
2015,227,29.87,14.48
2015,228,30.24,14.78
2015,229,28.45,14.33
2015,230,27.96,14.32
2015,231,29.19,14.09
2015,232,29.55,14.29
2015,233,28.56,15.08
2015,234,28.60,15.72
2015,235,28.40,14.99
2015,236,27.49,14.28
2015,237,28.80,14.28
2015,238,28.63,14.30
2015,239,27.81,13.82
2015,240,27.12,14.18
2015,241,28.27,13.66
2015,242,29.39,13.72
2015,243,29.57,14.71
2015,244,27.41,15.01
2015,245,28.44,15.70
2015,246,28.70,15.55
2015,247,28.96,15.71
2015,248,28.59,15.57
2015,249,28.50,15.98
2015,250,29.62,15.56
2015,251,29.78,14.84
2015,252,29.77,15.00
2015,253,30.30,15.16
2015,254,28.50,16.01
2015,255,29.00,14.42
2015,256,27.40,14.81
2015,257,26.45,15.86
2015,258,27.26,15.47
2015,259,27.93,15.64
2015,260,26.93,15.67
2015,261,26.99,15.86
2015,262,28.06,15.24
2015,263,29.17,14.77
2015,264,28.57,14.88
2015,265,29.09,14.55
2015,266,27.82,13.58
2015,267,27.92,13.74
2015,268,27.78,14.75
2015,269,27.09,14.19
2015,270,26.31,13.17
2015,271,27.46,12.96
2015,272,27.23,13.54
2015,273,27.62,12.95
2015,274,26.24,13.88
2015,275,27.77,11.62
2015,276,27.63,11.77
2015,277,28.25,11.40
2015,278,27.28,13.44
2015,279,28.11,13.61
2015,280,29.05,14.30
2015,281,29.71,14.35
2015,282,27.79,15.05
2015,283,28.37,14.79
2015,284,27.39,14.15
