Latitude: 24.49841  Longitude: -99.00773
X & Y on Lambert Conformal Conic: 100829.15 -1937563.56
Tile: 10301
Elevation: 524 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,tmax (deg c),tmin (deg c)
2015,213,36.60,20.03
2015,214,33.83,21.78
2015,215,34.60,22.32
2015,216,36.23,22.08
2015,217,36.37,22.76
2015,218,36.48,23.08
2015,219,36.61,21.39
2015,220,36.66,22.51
2015,221,37.75,20.83
2015,222,37.15,23.24
2015,223,36.32,23.02
2015,224,35.64,22.24
2015,225,35.29,20.16
2015,226,37.68,23.24
2015,227,38.09,21.75
2015,228,36.61,22.22
2015,229,35.20,20.36
2015,230,35.15,20.54
2015,231,34.97,22.64
2015,232,36.63,17.64
2015,233,32.12,20.46
2015,234,31.96,22.50
2015,235,36.31,22.03
2015,236,34.35,22.97
2015,237,33.46,21.97
2015,238,38.51,21.27
2015,239,35.88,21.13
2015,240,34.97,20.22
2015,241,35.39,18.67
2015,242,34.84,18.21
2015,243,35.50,17.94
2015,244,33.95,21.17
2015,245,33.44,21.33
2015,246,34.56,21.45
2015,247,32.71,22.35
2015,248,37.68,20.66
2015,249,35.21,22.76
2015,250,34.90,22.73
2015,251,37.35,19.83
2015,252,35.84,22.71
2015,253,35.27,23.21
2015,254,33.56,23.01
2015,255,34.58,20.32
2015,256,28.18,20.50
2015,257,27.95,18.83
2015,258,31.55,19.59
2015,259,33.86,22.22
2015,260,29.78,21.24
2015,261,34.96,19.86
2015,262,32.61,19.97
2015,263,33.24,20.51
2015,264,32.61,20.29
2015,265,30.54,21.08
2015,266,32.65,19.70
2015,267,33.53,18.77
2015,268,29.66,20.54
2015,269,29.89,20.19
2015,270,32.00,16.23
2015,271,31.75,17.21
2015,272,33.76,16.90
2015,273,32.95,16.06
2015,274,32.63,20.16
2015,275,32.39,18.55
2015,276,30.64,16.47
2015,277,34.29,16.39
2015,278,30.73,18.17
2015,279,28.10,20.14
2015,280,29.21,17.95
2015,281,29.95,21.12
2015,282,29.44,19.68
2015,283,30.15,19.40
2015,284,29.38,17.88
2015,285,31.41,18.82
2015,286,33.11,18.30
2015,287,31.72,18.93
2015,288,31.53,18.36
2015,289,30.55,18.28
2015,290,30.62,18.68
2015,291,27.38,19.59
2015,292,27.53,15.40
2015,293,28.85,15.18
2015,294,30.03,16.35
2015,295,32.57,16.01
2015,296,30.74,19.11
2015,297,28.45,21.51
2015,298,27.24,16.69
2015,299,25.94,13.99
2015,300,27.56,11.41
2015,301,30.28,13.21
2015,302,30.36,16.05
2015,303,29.20,17.79
2015,304,27.98,21.56
2015,305,25.98,15.40
2015,306,28.41,12.90
2015,307,28.50,14.53
2015,308,27.63,18.11
2015,309,32.50,15.55
2015,310,30.20,19.62
2015,311,27.58,16.85
2015,312,28.41,14.03
2015,313,20.29,15.14
2015,314,27.61,17.94
2015,315,30.44,15.39
2015,316,30.44,16.23
2015,317,22.33,16.52
2015,318,18.63,16.27
2015,319,26.27,15.91
2015,320,28.03,17.89
2015,321,28.90,18.29
2015,322,27.48,14.30
2015,323,26.36,11.46
2015,324,27.57,13.40
2015,325,28.01,17.70
2015,326,24.43,11.04
2015,327,20.94,4.64
2015,328,24.02,9.85
2015,329,23.93,15.37
2015,330,29.07,12.74
2015,331,30.02,16.36
2015,332,18.19,13.22
2015,333,19.44,7.26
2015,334,15.91,10.73
2015,335,14.97,12.67
2015,336,19.48,12.85
2015,337,20.99,9.83
2015,338,18.72,4.66
2015,339,22.43,7.28
2015,340,21.85,9.09
2015,341,19.88,10.19
2015,342,22.52,9.57
2015,343,23.41,10.62
2015,344,27.51,11.78
2015,345,30.53,9.78
2015,346,24.32,17.76
2015,347,21.29,11.96
2015,348,25.10,7.71
2015,349,27.31,10.85
2015,350,29.04,10.04
2015,351,22.35,9.85
2015,352,21.47,6.82
2015,353,21.97,3.09
2015,354,24.09,8.80
2015,355,25.09,15.45
2015,356,24.52,15.12
2015,357,28.91,14.11
2015,358,28.32,15.78
2015,359,29.73,18.87
2015,360,31.06,12.00
2015,361,22.26,12.20
2015,362,17.87,4.14
2015,363,19.02,4.01
2015,364,19.03,5.08
2015,365,16.81,10.52
2016,1,14.28,9.44
2016,2,4.95,3.79
2016,3,9.49,5.66
2016,4,16.61,1.66
2016,5,14.78,4.34
2016,6,22.17,9.69
2016,7,21.58,10.77
2016,8,28.76,10.24
2016,9,26.14,10.04
2016,10,20.96,5.35
2016,11,12.59,2.10
2016,12,18.81,3.30
2016,13,19.03,8.56
2016,14,21.12,8.70
2016,15,25.99,8.40
2016,16,28.74,9.77
2016,17,24.21,5.53
2016,18,23.84,4.62
2016,19,20.81,5.95
2016,20,25.03,10.79
2016,21,29.42,10.04
2016,22,25.03,7.55
2016,23,20.71,2.99
2016,24,22.95,2.98
2016,25,28.08,3.99
2016,26,23.46,11.72
2016,27,13.57,6.02
2016,28,20.47,1.31
2016,29,21.08,1.84
2016,30,23.61,6.55
2016,31,29.58,11.56
2016,32,31.13,9.89
2016,33,28.89,12.66
2016,34,23.05,7.74
2016,35,20.14,4.26
2016,36,17.77,3.02
2016,37,21.85,3.30
2016,38,22.48,4.79
2016,39,24.49,4.10
2016,40,23.06,8.44
2016,41,24.21,5.62
2016,42,24.83,6.75
2016,43,28.26,6.79
2016,44,28.56,7.86
2016,45,24.78,11.34
2016,46,27.59,13.49
2016,47,30.43,11.96
2016,48,31.46,10.80
2016,49,26.55,12.19
2016,50,29.03,12.84
2016,51,32.22,13.95
2016,52,31.83,14.27
2016,53,28.33,15.78
2016,54,32.73,14.88
2016,55,26.69,7.94
2016,56,22.54,5.53
2016,57,25.18,5.10
2016,58,23.78,9.22
2016,59,22.95,12.58
2016,60,26.63,14.71
2016,61,29.24,12.82
2016,62,27.97,17.01
2016,63,31.36,18.41
2016,64,33.00,15.69
2016,65,27.35,14.81
2016,66,28.30,16.32
2016,67,27.82,18.87
2016,68,31.43,16.09
2016,69,31.41,16.17
2016,70,22.48,11.02
2016,71,21.47,9.25
2016,72,24.97,10.36
2016,73,30.07,15.63
2016,74,33.34,13.33
2016,75,34.95,15.10
2016,76,33.25,16.39
2016,77,28.88,18.22
2016,78,30.50,18.52
2016,79,24.85,14.42
2016,80,19.39,10.32
2016,81,19.85,6.74
2016,82,23.48,7.98
2016,83,28.97,13.26
2016,84,30.93,15.08
2016,85,26.99,9.75
2016,86,26.52,13.43
2016,87,27.17,14.48
2016,88,25.43,18.85
2016,89,27.02,15.54
2016,90,31.68,18.67
2016,91,34.47,21.51
2016,92,35.66,17.02
2016,93,20.20,11.42
2016,94,23.30,8.31
2016,95,26.14,9.39
2016,96,28.07,10.94
2016,97,29.99,14.01
2016,98,29.97,14.80
2016,99,29.09,19.13
2016,100,27.55,15.00
2016,101,27.81,15.76
2016,102,29.06,19.44
2016,103,31.05,19.21
2016,104,30.18,19.54
2016,105,26.55,16.77
2016,106,25.78,16.64
2016,107,27.26,18.38
2016,108,30.02,21.11
2016,109,35.31,18.32
2016,110,30.38,17.27
2016,111,31.10,18.40
2016,112,29.78,19.60
2016,113,32.02,17.06
2016,114,29.42,16.95
2016,115,27.83,17.49
2016,116,31.91,19.53
2016,117,36.07,21.06
2016,118,35.00,19.78
2016,119,34.93,18.63
2016,120,33.00,19.13
2016,121,33.53,21.75
2016,122,33.25,17.99
2016,123,29.44,17.62
2016,124,25.75,16.90
2016,125,30.46,17.42
2016,126,30.80,15.12
2016,127,32.27,15.39
2016,128,32.10,15.56
2016,129,28.62,18.36
2016,130,32.12,17.42
2016,131,32.88,19.55
2016,132,31.69,21.68
2016,133,33.58,21.32
2016,134,33.21,21.07
2016,135,34.02,21.21
2016,136,30.57,21.25
2016,137,30.19,19.91
2016,138,34.51,20.37
2016,139,33.27,20.68
2016,140,31.99,20.26
2016,141,33.01,21.08
2016,142,32.17,21.93
2016,143,33.96,22.66
2016,144,33.47,20.61
2016,145,33.24,20.90
2016,146,32.55,23.52
2016,147,32.85,24.24
2016,148,32.16,22.62
2016,149,32.21,22.57
2016,150,32.49,22.59
2016,151,32.03,19.16
2016,152,32.43,18.41
2016,153,30.24,19.65
2016,154,29.70,19.69
2016,155,31.34,20.05
2016,156,29.66,19.33
2016,157,30.94,19.81
2016,158,31.38,19.74
2016,159,31.06,20.66
2016,160,33.14,20.18
2016,161,32.15,19.61
2016,162,31.75,18.92
2016,163,32.64,21.32
2016,164,33.37,21.85
