Latitude: 19.39464  Longitude: -100.14268
X & Y on Lambert Conformal Conic: -15481.95 -2512975.0
Tile: 9760
Elevation: 2596 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,tmax (deg c),tmin (deg c)
2015,213,25.09,9.11
2015,214,24.84,9.30
2015,215,25.34,8.99
2015,216,25.60,8.68
2015,217,25.21,9.70
2015,218,26.28,9.55
2015,219,25.66,9.45
2015,220,25.61,9.28
2015,221,26.37,8.86
2015,222,26.44,9.53
2015,223,26.08,8.07
2015,224,23.19,9.12
2015,225,21.93,9.85
2015,226,23.61,9.84
2015,227,25.09,9.05
2015,228,26.17,8.84
2015,229,24.05,9.93
2015,230,22.74,9.46
2015,231,23.58,9.68
2015,232,24.82,8.48
2015,233,24.12,9.68
2015,234,24.55,10.65
2015,235,23.22,10.18
2015,236,23.85,9.59
2015,237,25.22,9.21
2015,238,24.14,9.46
2015,239,22.91,9.08
2015,240,23.06,9.12
2015,241,22.95,8.57
2015,242,24.14,9.73
2015,243,24.54,9.41
2015,244,23.32,9.48
2015,245,24.39,10.53
2015,246,23.75,10.94
2015,247,23.64,10.59
2015,248,23.84,9.96
2015,249,23.58,10.68
2015,250,25.31,10.61
2015,251,25.63,9.64
2015,252,25.36,9.60
2015,253,26.02,9.67
2015,254,24.51,10.55
2015,255,24.61,8.95
2015,256,24.08,10.49
2015,257,23.14,12.00
2015,258,23.19,11.41
2015,259,23.86,11.74
2015,260,22.90,11.43
2015,261,23.20,11.36
2015,262,24.66,9.61
2015,263,25.12,9.17
2015,264,24.41,10.81
2015,265,25.22,9.76
2015,266,24.20,7.64
2015,267,25.04,8.03
2015,268,24.52,10.14
2015,269,22.40,10.54
2015,270,21.04,9.96
2015,271,22.62,9.74
2015,272,20.98,9.74
2015,273,20.97,9.73
2015,274,20.50,9.82
2015,275,23.28,7.24
2015,276,23.81,5.61
2015,277,25.43,4.81
2015,278,24.03,8.69
2015,279,25.68,8.12
2015,280,25.88,7.74
2015,281,27.10,8.11
2015,282,25.29,9.84
2015,283,24.78,9.19
2015,284,23.87,9.71
2015,285,25.89,8.85
2015,286,26.19,8.57
2015,287,25.40,8.49
2015,288,23.12,8.13
2015,289,23.32,7.54
2015,290,23.34,7.90
2015,291,21.25,9.75
2015,292,19.44,8.49
2015,293,21.23,8.65
2015,294,26.21,6.33
2015,295,25.75,7.58
2015,296,23.75,11.61
2015,297,23.39,11.33
2015,298,22.50,11.45
2015,299,23.96,9.62
2015,300,22.69,9.79
2015,301,23.62,11.40
2015,302,23.04,9.39
2015,303,24.22,9.87
2015,304,21.48,10.49
2015,305,21.67,10.45
2015,306,23.50,7.57
2015,307,22.92,7.63
2015,308,25.36,8.05
2015,309,25.73,6.72
2015,310,25.90,6.80
2015,311,24.99,7.61
2015,312,24.52,8.73
2015,313,22.21,9.27
2015,314,25.47,7.54
2015,315,25.42,8.00
2015,316,27.19,6.58
2015,317,25.06,7.66
2015,318,22.13,10.09
2015,319,20.59,7.75
2015,320,21.97,8.75
2015,321,26.00,7.04
2015,322,23.76,7.39
2015,323,26.18,7.74
2015,324,22.86,7.13
2015,325,24.97,8.49
2015,326,24.11,8.11
2015,327,19.78,7.53
2015,328,23.67,5.12
2015,329,24.46,6.51
2015,330,25.00,7.58
2015,331,24.58,7.67
2015,332,22.23,8.49
2015,333,23.32,7.96
2015,334,23.73,5.39
2015,335,26.67,4.94
2015,336,27.25,6.02
2015,337,24.97,6.78
2015,338,20.24,6.75
2015,339,19.47,4.94
2015,340,20.85,5.75
2015,341,22.03,5.50
2015,342,21.02,5.55
2015,343,21.79,6.24
2015,344,20.68,5.98
2015,345,22.62,5.45
2015,346,14.81,6.98
2015,347,11.80,0.57
2015,348,17.20,6.26
2015,349,18.07,-0.46
2015,350,23.24,3.44
2015,351,24.01,4.08
2015,352,21.93,6.34
2015,353,12.08,-7.23
2015,354,13.37,-2.29
2015,355,14.22,3.98
2015,356,14.19,4.18
2015,357,18.78,4.14
2015,358,21.20,4.12
2015,359,23.47,5.90
2015,360,23.90,3.60
2015,361,24.00,4.45
2015,362,21.85,2.79
2015,363,22.38,1.74
2015,364,23.50,6.50
2015,365,24.48,7.35
2016,1,21.48,6.70
2016,2,24.92,6.22
2016,3,23.91,6.67
2016,4,23.51,6.76
2016,5,19.64,4.12
2016,6,20.20,4.91
2016,7,19.93,3.69
2016,8,19.93,2.71
2016,9,20.20,2.46
2016,10,20.37,2.91
2016,11,20.02,3.40
2016,12,22.88,1.30
2016,13,18.68,2.55
2016,14,16.59,5.20
2016,15,18.70,3.90
2016,16,21.60,1.88
2016,17,19.28,1.75
2016,18,25.39,-0.42
2016,19,21.61,0.62
2016,20,19.54,1.53
2016,21,20.63,2.61
2016,22,23.48,1.27
2016,23,23.52,1.12
2016,24,22.33,0.37
2016,25,20.94,1.17
2016,26,24.47,7.85
2016,27,20.29,1.49
2016,28,20.54,-0.06
2016,29,17.02,0.99
2016,30,19.55,3.44
