Lon,Lat,Clave,Edo,Est,Tmin
-89.68,20.65,ABAYC,YUC,"Abal·, Yuc.",17.8
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",12.8
-98.39,24.07,ABSTP,TAMP,"Abasolo, Tamps.",17.5
-92.80,16.55,ACACP,CHIS,"Acala, Chis.",21.0
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",24.8
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",21.8
-96.84,19.70,ACAVC,VER,"Acatl·n, Ver.",10.5
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",14.0
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",7.5
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",9.5
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",8.7
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",11.2
-110.23,29.83,ACNSO,SON,"Aconchi, Son.",5.4
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",11.2
-103.59,20.42,ACTJL,JAL,"Acatl·n, Jal.",13.4
-106.65,24.05,ACTSI,SIN,"Acatit·n, Sin.",15.5
-96.59,19.50,ACTVC,VER,"Actopan, Ver.",18.9
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",23.4
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",10.7
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",16.2
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",12.1
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",18.1
-98.14,18.94,AFRPB,PUE,"¡fricam, Pue.",12.4
-100.61,19.58,AGOMC,MICH,"Agostitl·n, Mich.",8.4
-102.31,21.90,AGSAG,AGS,"Aguascalientes, Ags.",12.2
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",0.5
-97.92,18.85,AHAPB,PUE,"Ahuatepec, Pue.",11.1
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",18.3
-109.18,25.92,AHMSI,SIN,"Ahome, Sin.",17.1
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",7.1
-100.50,18.15,AJCGR,GRO,"Ajuchitl·n, Gro.",17.9
-102.44,21.60,AJJJL,JAL,"Ajoj˙car, Jal.",7.9
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",19.4
-107.38,25.09,AL2SI,SIN,"El Varejonal hidromÈtrica, Sin.",15.0
-97.68,20.93,ALAVC,VER,"¡lamo Temapache, Ver.",19.8
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",5.3
-116.91,32.44,ALRBN,BC,"Abelardo L. RodrÌguez, B.C.",10.8
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",8.0
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",9.1
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",16.2
-104.07,25.26,AM2DR,DGO,"AgustÌn Melgar, Dgo. SMN*",7.4
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",9.4
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",11.7
-92.78,16.40,ANGCP,CHIS,"Doctor Belisario DomÌnguez, Chis.",20.0
-101.72,20.13,ANGMC,MICH,"Angamacutiro, Mich. SMN*",11.8
-100.13,27.24,ANHNL,NL,"An·huac, N.L.",14.2
-102.46,22.19,ANVAG,AGS,"Cincuenta Aniversario, Ags.",12.1
-109.89,27.82,AOBSO,SON,"¡lvaro ObregÛn, Son.",17.4
-102.37,19.08,APAMC,MICH,"Apatzing·n, Mich. SMN*",22.2
-97.85,20.41,APAPB,PUE,"Apapantilla, Pue.",19.5
-104.49,26.23,APRDR,DGO,"Ing. BenjamÌn Ortega Cantero, Dgo.",8.2
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",12.3
-102.37,19.08,APTMC,MICH,"Apatzing·n, Mich.",20.8
-100.93,25.56,ARACL,COAH,"Ramos Arizpe Aeropuerto, Coah.",11.6
-99.22,19.57,ARBMX,MEX,"Las Arboledas, MÈx.",10.5
-108.70,25.70,ARCSI,SIN,"Adolfo RuÌz CortÌnes, Sin.",15.6
-109.11,27.23,ARCSO,SON,"Adolfo RuÌz CortÌnes, Son.",16.2
